date,message
2025-04-22T00:00:03+03:00,"📡 **Обстановка станом на 00:00 22.04.25**

— Стратегічна авіація:
Не активна;

— БпЛА:
Триває загроза ударних БпЛА;

— Флот:
В акваторію Чорного моря виведено 6х ракетоносіїв.
Загальний боєзапас до 46х крилатих ракет ""Калібр"". 

__На зв'язку.__

#обстановка@war_monitor"
2025-04-22T00:01:37+03:00,"Чернігівщина:
4х БпЛА у Чернігівському районі повз Славутич та на схід від Чернігова."
2025-04-22T00:02:19+03:00,"Донеччина/Дніпропетровщина:
3х по межі областей вектором на Синельниківський район."
2025-04-22T00:27:53+03:00,"Дніпропетровщина:
2х БпЛА через Синельниківський район.
Курс Південно-західний."
2025-04-22T00:28:40+03:00,"Київщина:
3х БпЛА на півночі області."
2025-04-22T00:43:20+03:00,🔄 1х БпЛА продовжує рух довкола Чернігова.
2025-04-22T00:43:45+03:00,"Київщина:
3х БпЛА через Вишгородський район у напрямку Києва."
2025-04-22T00:58:23+03:00,"Київщина:
2х БпЛА повз Гостомель."
2025-04-22T01:07:34+03:00,❗️ Самар — 1х БпЛА на місто.
2025-04-22T01:45:54+03:00,Дорозвідка по областях.
2025-04-22T06:13:45+03:00,"🔱 У Чорне море виведено 1× носій ракет типу «Калібр».
Загальний боєзапас становить до 6 ракет.

@war_monitor"
2025-04-22T06:20:05+03:00,"🗂 **Головне на ранок 22.04.25**

Ворог атакував ударними БпЛА декілька областей, основний удар був спрямований на Одесу.

▫️ **Масована атака по Одесі щонайменше 25 ударними БпЛА.**
— Внасліжок атаки виникли масштабні пожежі.
— Пошкоджено житлові будинки, цивільну інфраструктуру, підприємства, навчальний заклад
— Постраждали 3 особи.

#ранок@war_monitor"
2025-04-22T17:04:21+03:00,"⚡️Володимирська область рф - детонує 51 арсенал ГРАУ 🔥

В арсеналі попередньо може знаходитись до 200 тис тонн БК.
Серед них як балістичні ракети, так і ракети РСЗВ."
2025-04-22T17:10:42+03:00,"💥 Ще медіа з місця детонації.
Вибух масштабний, сподіваємось на змістовне ураження.
Цікаво чим, бо арсенал в 530км від ЛБЗ 👀"
2025-04-22T17:10:42+03:00,
2025-04-22T18:42:14+03:00,Очікуємо групи ударних БпЛА з Південного напрямку впродовж наступних трьох годин.
2025-04-22T20:55:20+03:00,"⚠️ **Загроза ударних БпЛА з Південного напрямку.

**Група БпЛА з Криму у напрямку узбережжя Миколаївської, Одеської областей."
2025-04-22T21:45:41+03:00,❗️ Пуски планеруючих авіаційних бомб (КАБ) по прикордонню Сумського району (Юнаківська територіальна громада).
2025-04-22T22:13:29+03:00,"⚠️ 5х БпЛА в акваторії чорного моря у напрямку Одещини.

🔄 3х БпЛА над Тендрівською косою."
2025-04-22T22:36:32+03:00,❗️ Одеса — 2х БпЛА на місто з акваторії ЧМ з 22:45.
2025-04-22T22:37:07+03:00,⚠️ Група з ~14х БпЛА від о.Зміїний у напрямку Одеського району.
2025-04-22T22:38:57+03:00,"Сумщина/Харківщина:
7х БпЛА в двох групах через Охтирський та Богодухівський райони вектором на Полтавщину."
2025-04-22T22:47:58+03:00,🔄 8х БпЛА на Сумщині та Харківщині літають колом між Охтиркою та Богодуховом.
2025-04-22T22:51:42+03:00,"⚠️ 11х БпЛА вздовж Одеси у акваторії Чорного моря.

По перших двух мінус."
2025-04-22T23:00:06+03:00,"⚠️ 11х БпЛА парами повертають у напрямку Приморського району Одеси.

Уважно у наступні 30 хв."
2025-04-22T23:03:53+03:00,"❗️ Лиманка, Одеса — уважно."
2025-04-22T23:11:38+03:00,"⚠️ Останній БпЛА на Лиманка, Одеса з акваторїї ЧМ."
2025-04-22T23:12:40+03:00,🔄 11х БпЛА кружляють в секторі Полтава/Чутове/Богодухів/Опішня.
2025-04-22T23:14:00+03:00,Одеса і агломерація — дорозвідка.
2025-04-22T23:19:36+03:00,"Сумщина:
2х БпЛА через Шосткинський район на Чернігівщину.
2х БпЛА через Сумський район на Роменський район."
2025-04-22T23:20:13+03:00,❗️ Полтава — 11х БпЛА від Котельви у напрямку міста!
2025-04-22T23:31:07+03:00,❗️ Полтава — 4х БпЛА через Подільський район.
2025-04-22T23:36:17+03:00,"Полтавщина:
2х БпЛА повз Гадяч.

Сумщина:
2х БпЛА через Конотопський район.
2х через Роменський район.

Чернігівщина:
3х БпЛА через Корюківський район, курс Західний."
2025-04-22T23:36:43+03:00,Полтава і агломерація — дорозвідка.
